Product Code,Brand,Core Specification,Processor Specification,RAM,ROM,SSD
3D0BC13B,Sony,i7,i7,4GB,256GB,256GB
67124ED1,Vivo,Ryzen 3,Ryzen 3,8GB,512GB,1TB
44C24952,Huawei,Ryzen 9,Ryzen 9,12GB,256GB,512GB
323A208F,Microsoft,i7,i7,32GB,64GB,256GB
75A1D2DF,Dell,N/A,Samsung Exynos,6GB,64GB,N/A
760283A8,Redmi,Ryzen 9,Ryzen 9,8GB,256GB,2TB
414CA0E2,Lenovo,N/A,MediaTek Helio,12GB,64GB,N/A
4B4D9798,iQOO,Ryzen 9,Ryzen 9,8GB,128GB,512GB
CBE2618D,Oppo,N/A,Snapdragon 8 Gen,12GB,1TB,N/A
2F631C49,Sony,Ryzen 5,Ryzen 5,16GB,64GB,512GB
F073FEAC,Huawei,i9,i9,16GB,128GB,512GB
78225DA1,Toshiba,i7,i7,12GB,64GB,512GB
EF6847A8,Apple,Ryzen 7,Ryzen 7,16GB,256GB,2TB
A910B2A5,Google,N/A,MediaTek Helio,12GB,512GB,N/A
84C9664A,Dell,i5,i5,12GB,128GB,1TB
9B217BBD,Realme,Ryzen 9,Ryzen 9,6GB,1TB,2TB
83D19C0B,iQOO,Ryzen 7,Ryzen 7,4GB,1TB,2TB
D8924008,HP,N/A,Apple A-Series,32GB,64GB,N/A
EF56D85C,Realme,N/A,Snapdragon 7s,12GB,1TB,N/A
F6200998,Asus,N/A,Snapdragon 8 Gen,8GB,1TB,N/A
3D5F11C7,Apple,N/A,Snapdragon 7 Gen,6GB,128GB,N/A
FECE33F7,Asus,N/A,MediaTek Dimensity,12GB,128GB,N/A
635666C5,Realme,N/A,Snapdragon 8 Gen,32GB,1TB,N/A
CDEA26D7,OnePlus,Ryzen 9,Ryzen 9,16GB,256GB,512GB
D90A0250,OnePlus,N/A,Snapdragon 7s,16GB,1TB,N/A
9.50E+164,Redmi,i3,i3,12GB,64GB,256GB
D9702415,OnePlus,N/A,Snapdragon 7s,4GB,1TB,N/A
EC9EDA1A,Redmi,Ryzen 9,Ryzen 9,4GB,256GB,1TB
42E9F90B,Huawei,N/A,Apple A-Series,16GB,512GB,N/A
9039C10D,Realme,N/A,Samsung Exynos,4GB,64GB,N/A
E88190EE,HP,i3,i3,6GB,256GB,2TB
EB945892,Huawei,N/A,Apple A-Series,12GB,64GB,N/A
EB2CF175,Google,N/A,Snapdragon 7s,12GB,512GB,N/A
0A141936,Acer,i5,i5,6GB,64GB,1TB
8A0FA48D,Lenovo,i3,i3,16GB,256GB,256GB
2847E891,Lenovo,Ryzen 5,Ryzen 5,4GB,256GB,2TB
DFABEB57,HP,Ryzen 3,Ryzen 3,4GB,512GB,2TB
86328D2E,Sony,N/A,Apple A-Series,12GB,1TB,N/A
2E2B1841,Toshiba,N/A,Snapdragon 8 Gen,8GB,512GB,N/A
FB777520,Toshiba,i7,i7,4GB,128GB,1TB
C4319492,Nokia,N/A,Apple A-Series,12GB,1TB,N/A
B796455A,iQOO,N/A,Samsung Exynos,8GB,128GB,N/A
25F2BC45,Motorola,N/A,Samsung Exynos,16GB,512GB,N/A
927062D8,Dell,N/A,MediaTek Dimensity,8GB,1TB,N/A
14DCED52,Apple,i3,i3,8GB,128GB,2TB
9B199831,Huawei,N/A,MediaTek Helio,32GB,512GB,N/A
C22308EA,Realme,Ryzen 7,Ryzen 7,4GB,128GB,1TB
DFD588BB,Nokia,Ryzen 7,Ryzen 7,8GB,128GB,256GB
CE725FE3,iQOO,N/A,Samsung Exynos,8GB,512GB,N/A
E3560F93,Apple,N/A,Snapdragon 8 Gen,6GB,512GB,N/A
E68B9A8F,Acer,N/A,MediaTek Helio,12GB,64GB,N/A
2FAD5E2A,Motorola,N/A,Snapdragon 7 Gen,6GB,128GB,N/A
B12FB868,Apple,Ryzen 5,Ryzen 5,16GB,1TB,512GB
25B13BE9,Motorola,Ryzen 5,Ryzen 5,32GB,512GB,2TB
538BB027,Lenovo,i9,i9,16GB,64GB,512GB
53046799,Microsoft,Ryzen 9,Ryzen 9,4GB,256GB,512GB
11D5F0BA,Vivo,i7,i7,8GB,1TB,1TB
34FA9BB4,Google,Ryzen 7,Ryzen 7,32GB,256GB,1TB
E14F4F6D,Realme,Ryzen 3,Ryzen 3,16GB,128GB,2TB
46B16750,OnePlus,Ryzen 7,Ryzen 7,16GB,512GB,1TB
4ABF79D7,Realme,Ryzen 5,Ryzen 5,32GB,64GB,1TB
E9FBC5DA,Lenovo,i5,i5,12GB,512GB,256GB
12E9656E,Lenovo,Ryzen 3,Ryzen 3,16GB,512GB,2TB
D47ED722,Oppo,i7,i7,8GB,128GB,2TB
FAD03F4B,Samsung,i9,i9,4GB,512GB,256GB
6266E2F6,Google,N/A,Snapdragon 8 Gen,12GB,512GB,N/A
1D1689CB,Oppo,N/A,Snapdragon 7s,8GB,128GB,N/A
244BC47A,Toshiba,Ryzen 9,Ryzen 9,12GB,64GB,512GB
D400E869,Redmi,Ryzen 3,Ryzen 3,4GB,64GB,1TB
AA9A0750,Google,N/A,Apple A-Series,4GB,512GB,N/A
0D895C65,Apple,N/A,Samsung Exynos,16GB,256GB,N/A
339E2EA5,Motorola,N/A,Snapdragon 7s,4GB,512GB,N/A
EAA4B91E,Oppo,i9,i9,6GB,128GB,512GB
23DE9B8F,Sony,N/A,Snapdragon 8 Gen,8GB,128GB,N/A
421A6AD1,HP,i5,i5,8GB,512GB,2TB
B644E679,Toshiba,i9,i9,16GB,128GB,256GB
F5011C8B,Asus,N/A,Snapdragon 7 Gen,8GB,1TB,N/A
1A390F02,Redmi,N/A,Apple A-Series,16GB,1TB,N/A
8AD957E7,Oppo,N/A,Snapdragon 8 Gen,8GB,512GB,N/A
4D18D337,Asus,N/A,Snapdragon 7s,6GB,512GB,N/A
CDA7E19D,Lenovo,N/A,Samsung Exynos,12GB,256GB,N/A
9AF6209E,Google,Ryzen 5,Ryzen 5,16GB,64GB,2TB
A1D80284,Google,N/A,Snapdragon 7s,16GB,64GB,N/A
4AB9DC6E,Dell,N/A,Snapdragon 8 Gen,12GB,128GB,N/A
1AB0B2A9,Nokia,Ryzen 9,Ryzen 9,6GB,1TB,2TB
41E331D2,iQOO,i3,i3,6GB,256GB,512GB
1E47937C,Samsung,N/A,Snapdragon 7s,8GB,512GB,N/A
C5D9BD4A,Apple,i5,i5,6GB,64GB,1TB
DA13AEF4,HP,N/A,Snapdragon 7 Gen,12GB,64GB,N/A
16263FE2,Huawei,N/A,Apple A-Series,4GB,1TB,N/A
371B0D88,Redmi,i7,i7,32GB,512GB,512GB
AC0D4520,Apple,i5,i5,32GB,256GB,512GB
D1E4EA67,OnePlus,N/A,Apple A-Series,16GB,1TB,N/A
A5DCFC43,OnePlus,Ryzen 3,Ryzen 3,6GB,256GB,256GB
FDCE451A,Realme,i3,i3,6GB,1TB,1TB
D209AB90,Acer,i9,i9,16GB,128GB,2TB
C490AA66,iQOO,Ryzen 3,Ryzen 3,32GB,512GB,512GB
491E559D,Huawei,i9,i9,32GB,256GB,256GB
BDC890EA,Huawei,N/A,MediaTek Helio,8GB,128GB,N/A
923AF2F7,Dell,Ryzen 5,Ryzen 5,8GB,512GB,1TB
2E0F76D3,Toshiba,i7,i7,6GB,128GB,1TB
C19E4F20,Samsung,N/A,MediaTek Dimensity,6GB,128GB,N/A
4AA21F32,OnePlus,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
5CAC246A,Dell,Ryzen 3,Ryzen 3,4GB,256GB,512GB
2281BF04,Vivo,Ryzen 3,Ryzen 3,8GB,64GB,256GB
61A89934,Toshiba,N/A,MediaTek Dimensity,6GB,1TB,N/A
0D52065F,iQOO,Ryzen 7,Ryzen 7,6GB,256GB,512GB
F9078718,Sony,N/A,MediaTek Helio,12GB,64GB,N/A
03E241A8,iQOO,N/A,MediaTek Helio,4GB,1TB,N/A
E7491810,Vivo,N/A,Snapdragon 7 Gen,16GB,1TB,N/A
C388DAE7,Toshiba,N/A,Snapdragon 7s,32GB,64GB,N/A
A015EA5E,Sony,i3,i3,8GB,512GB,2TB
96DC623D,OnePlus,N/A,Snapdragon 7s,12GB,256GB,N/A
264AF475,Realme,N/A,Snapdragon 8 Gen,4GB,64GB,N/A
D25EC759,Samsung,i5,i5,16GB,1TB,512GB
280BFF37,Apple,Ryzen 7,Ryzen 7,16GB,512GB,256GB
255D1BBC,iQOO,N/A,Snapdragon 7s,8GB,64GB,N/A
3.36E+11,Acer,N/A,Samsung Exynos,6GB,1TB,N/A
90BEA4DE,OnePlus,i7,i7,16GB,128GB,512GB
74C20C55,iQOO,i7,i7,4GB,64GB,512GB
DAB36054,Huawei,N/A,Snapdragon 7 Gen,6GB,1TB,N/A
B96D3384,Redmi,i7,i7,4GB,1TB,1TB
5D38F896,HP,i5,i5,32GB,128GB,256GB
B6985AE2,HP,Ryzen 7,Ryzen 7,6GB,128GB,2TB
C7360C0D,Sony,N/A,Samsung Exynos,16GB,256GB,N/A
97670792,Oppo,i9,i9,32GB,256GB,512GB
27FF464E,Microsoft,i7,i7,16GB,128GB,512GB
8AC6DF5F,Lenovo,i5,i5,6GB,64GB,1TB
8643CD66,Dell,N/A,Samsung Exynos,4GB,64GB,N/A
2E1D82A0,Sony,Ryzen 3,Ryzen 3,32GB,512GB,512GB
74A4FAA5,Sony,N/A,Samsung Exynos,4GB,128GB,N/A
BAD0F29A,HP,N/A,MediaTek Helio,4GB,64GB,N/A
9F76E9B1,Acer,Ryzen 7,Ryzen 7,8GB,64GB,2TB
8721E718,Redmi,Ryzen 5,Ryzen 5,32GB,512GB,512GB
81A343E2,Microsoft,Ryzen 9,Ryzen 9,4GB,128GB,512GB
0A04E72D,Google,i9,i9,6GB,64GB,512GB
A7AFB2CA,HP,Ryzen 5,Ryzen 5,16GB,64GB,2TB
0874BDE6,OnePlus,N/A,MediaTek Dimensity,16GB,256GB,N/A
E15DB748,Redmi,N/A,Apple A-Series,8GB,256GB,N/A
B0753E4A,Vivo,i5,i5,8GB,256GB,256GB
20241081,Huawei,N/A,MediaTek Dimensity,32GB,128GB,N/A
EEC71B7E,Huawei,N/A,MediaTek Helio,16GB,128GB,N/A
AF0B5252,Vivo,i9,i9,4GB,512GB,512GB
B02ECBB5,Microsoft,N/A,Snapdragon 7 Gen,6GB,256GB,N/A
79848507,Google,N/A,MediaTek Dimensity,16GB,512GB,N/A
9FD1575C,Asus,N/A,Snapdragon 7 Gen,6GB,64GB,N/A
5A94CFE3,Huawei,N/A,Snapdragon 7 Gen,6GB,256GB,N/A
E876DB8E,Redmi,N/A,MediaTek Dimensity,6GB,64GB,N/A
C2E2908E,Acer,i9,i9,32GB,256GB,1TB
7CA5B0B3,Nokia,Ryzen 7,Ryzen 7,8GB,512GB,2TB
3DDD31B0,Redmi,i7,i7,6GB,512GB,512GB
93D53D7B,Oppo,N/A,Apple A-Series,6GB,128GB,N/A
F3E18A16,Toshiba,N/A,Snapdragon 7s,8GB,1TB,N/A
CAD439C1,Motorola,i9,i9,8GB,1TB,1TB
5444E1AB,Oppo,i7,i7,12GB,64GB,1TB
6FBDEDF5,Apple,Ryzen 9,Ryzen 9,16GB,128GB,512GB
0746B377,Realme,N/A,MediaTek Dimensity,8GB,256GB,N/A
EEF7CF69,Motorola,Ryzen 9,Ryzen 9,8GB,256GB,512GB
042B72BF,Motorola,Ryzen 9,Ryzen 9,12GB,128GB,1TB
BE37730B,HP,N/A,Apple A-Series,12GB,1TB,N/A
44AF0920,Samsung,i9,i9,12GB,1TB,256GB
63723A24,Acer,N/A,Snapdragon 8 Gen,32GB,64GB,N/A
6A8FB994,OnePlus,N/A,Samsung Exynos,6GB,128GB,N/A
3F5ADC63,Lenovo,Ryzen 3,Ryzen 3,8GB,64GB,1TB
56E628B0,Apple,N/A,MediaTek Helio,8GB,512GB,N/A
93634713,Huawei,i5,i5,4GB,512GB,256GB
87F8E8DF,Realme,i3,i3,6GB,256GB,1TB
B15623FD,iQOO,Ryzen 3,Ryzen 3,8GB,128GB,256GB
3F349C7A,Google,N/A,Apple A-Series,32GB,64GB,N/A
E8AF1C20,Realme,N/A,Snapdragon 7s,12GB,128GB,N/A
7A5B8751,Oppo,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
4290EE48,iQOO,Ryzen 5,Ryzen 5,6GB,1TB,256GB
B034C80C,Motorola,Ryzen 3,Ryzen 3,4GB,256GB,2TB
9B3D24E3,HP,N/A,MediaTek Helio,6GB,256GB,N/A
7E7332B3,Oppo,N/A,MediaTek Helio,4GB,64GB,N/A
DD7C2609,Lenovo,N/A,MediaTek Helio,32GB,256GB,N/A
7631E09B,Vivo,N/A,Apple A-Series,6GB,256GB,N/A
E59BF8FC,Redmi,Ryzen 7,Ryzen 7,32GB,256GB,1TB
B0C83545,Google,i9,i9,4GB,256GB,1TB
6096CD8E,Huawei,Ryzen 7,Ryzen 7,12GB,64GB,1TB
3.19E+10,Realme,i7,i7,12GB,256GB,512GB
40C18D91,Apple,N/A,MediaTek Helio,32GB,128GB,N/A
43954FCE,Microsoft,N/A,MediaTek Helio,6GB,128GB,N/A
B0B7E9A7,Oppo,Ryzen 7,Ryzen 7,8GB,512GB,2TB
126EE90D,Acer,N/A,Snapdragon 7s,32GB,1TB,N/A
0B1D6916,Samsung,N/A,Apple A-Series,16GB,512GB,N/A
C9179BF6,Microsoft,i5,i5,8GB,64GB,256GB
2373A33F,Lenovo,i9,i9,6GB,64GB,256GB
B6F48333,Apple,N/A,Samsung Exynos,32GB,256GB,N/A
5D34C79B,Huawei,N/A,MediaTek Helio,6GB,64GB,N/A
64E3C5E9,Redmi,i3,i3,32GB,512GB,2TB
6B244449,Asus,Ryzen 9,Ryzen 9,32GB,1TB,256GB
881D97D3,Redmi,i3,i3,16GB,64GB,2TB
C921C0BD,OnePlus,Ryzen 3,Ryzen 3,4GB,128GB,256GB
18811302,Microsoft,N/A,Snapdragon 7 Gen,32GB,1TB,N/A
DA271AC8,Asus,N/A,Apple A-Series,16GB,512GB,N/A
B5F3213C,Microsoft,i9,i9,16GB,64GB,512GB
CF29782F,Acer,N/A,Apple A-Series,12GB,64GB,N/A
1C8A0B61,Nokia,N/A,Samsung Exynos,12GB,128GB,N/A
B08815E2,Nokia,N/A,Samsung Exynos,4GB,256GB,N/A
F1D3C6DD,Realme,N/A,Snapdragon 7 Gen,6GB,64GB,N/A
E762B28F,Motorola,N/A,Snapdragon 7s,32GB,128GB,N/A
3F30A998,Nokia,N/A,Snapdragon 7s,6GB,256GB,N/A
8F83EF46,Lenovo,N/A,Samsung Exynos,8GB,64GB,N/A
3E836051,iQOO,N/A,Snapdragon 7 Gen,12GB,512GB,N/A
FEC36628,Samsung,Ryzen 3,Ryzen 3,8GB,512GB,2TB
1FA45D42,Apple,i5,i5,4GB,64GB,512GB
16409B8D,HP,N/A,Apple A-Series,16GB,128GB,N/A
DEF1A96B,Samsung,i7,i7,8GB,64GB,256GB
AA057615,OnePlus,i5,i5,6GB,128GB,2TB
78CF1F62,Lenovo,N/A,Snapdragon 7s,8GB,512GB,N/A
C8F6ECFD,Nokia,Ryzen 3,Ryzen 3,4GB,256GB,512GB
42CDA766,HP,N/A,MediaTek Helio,4GB,512GB,N/A
671096F3,Apple,Ryzen 3,Ryzen 3,12GB,1TB,512GB
0CFDC9E0,Redmi,Ryzen 5,Ryzen 5,32GB,512GB,512GB
582A191C,Google,N/A,MediaTek Helio,6GB,128GB,N/A
69E1F900,Nokia,N/A,Apple A-Series,12GB,512GB,N/A
351E53BA,Dell,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
A3D51317,Oppo,N/A,Apple A-Series,16GB,64GB,N/A
C90EC0CC,Sony,Ryzen 7,Ryzen 7,8GB,64GB,256GB
977D8DF8,Asus,N/A,MediaTek Dimensity,12GB,512GB,N/A
AAA2F937,Acer,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
67477B50,Vivo,N/A,Apple A-Series,12GB,256GB,N/A
72E38C0A,Motorola,Ryzen 3,Ryzen 3,6GB,256GB,512GB
653D119E,Vivo,N/A,Snapdragon 8 Gen,6GB,512GB,N/A
4.12E+82,Sony,Ryzen 7,Ryzen 7,32GB,512GB,2TB
B3D02F71,Sony,i7,i7,6GB,128GB,256GB
08F2792F,Huawei,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
3F7B73C6,Toshiba,i5,i5,12GB,256GB,256GB
CDF4CE8F,Motorola,i7,i7,8GB,512GB,2TB
74B19C7B,Nokia,i9,i9,16GB,512GB,512GB
D8A62966,Huawei,Ryzen 9,Ryzen 9,32GB,256GB,2TB
7585E24C,Apple,N/A,Snapdragon 7s,8GB,256GB,N/A
804DC483,iQOO,N/A,Snapdragon 7s,6GB,128GB,N/A
BF5C0DC2,Google,i5,i5,8GB,1TB,512GB
8.08E+07,Asus,N/A,Snapdragon 7 Gen,32GB,64GB,N/A
32AE6748,Toshiba,N/A,MediaTek Helio,6GB,64GB,N/A
74C18233,Lenovo,N/A,MediaTek Dimensity,16GB,128GB,N/A
0A8AD8D0,Samsung,N/A,Snapdragon 8 Gen,8GB,1TB,N/A
8A4E37B3,Google,N/A,Snapdragon 7s,8GB,256GB,N/A
976D0A48,Asus,i5,i5,16GB,512GB,512GB
4B1C0AB8,Samsung,N/A,Snapdragon 7s,16GB,1TB,N/A
05774EC4,Asus,N/A,MediaTek Helio,6GB,128GB,N/A
3A59A157,Dell,N/A,Snapdragon 8 Gen,12GB,256GB,N/A
71428328,Acer,N/A,Snapdragon 8 Gen,16GB,256GB,N/A
95CD988B,Dell,i5,i5,32GB,512GB,256GB
E53DEFD3,Google,N/A,Samsung Exynos,6GB,512GB,N/A
91AC5E62,Lenovo,Ryzen 5,Ryzen 5,32GB,256GB,256GB
BDF568C4,Huawei,N/A,Apple A-Series,6GB,1TB,N/A
0AFF9A8E,HP,N/A,MediaTek Dimensity,8GB,1TB,N/A
3E443A64,Google,Ryzen 7,Ryzen 7,16GB,512GB,512GB
B2E35154,Dell,Ryzen 9,Ryzen 9,16GB,256GB,256GB
7D8B6913,Oppo,i7,i7,6GB,1TB,256GB
A9044F13,Redmi,Ryzen 5,Ryzen 5,32GB,512GB,1TB
7FEBDBD2,Dell,N/A,Snapdragon 7s,4GB,256GB,N/A
C1D9FCF7,Lenovo,N/A,Snapdragon 8 Gen,32GB,64GB,N/A
D96E15B0,Vivo,N/A,Snapdragon 7s,32GB,256GB,N/A
117F9B0C,Huawei,N/A,MediaTek Dimensity,6GB,128GB,N/A
5EA167A8,Redmi,Ryzen 9,Ryzen 9,16GB,256GB,2TB
3A1A9ABA,Samsung,i3,i3,6GB,1TB,2TB
278B781B,Huawei,N/A,MediaTek Dimensity,4GB,256GB,N/A
651815B5,Toshiba,N/A,Samsung Exynos,4GB,128GB,N/A
F6A67E7D,Nokia,N/A,Snapdragon 7 Gen,16GB,64GB,N/A
5A791E4A,Dell,N/A,MediaTek Dimensity,32GB,128GB,N/A
C07020E3,Toshiba,N/A,Snapdragon 7 Gen,6GB,64GB,N/A
49B00794,iQOO,i5,i5,4GB,1TB,2TB
CA3828F8,Dell,N/A,Samsung Exynos,32GB,128GB,N/A
A01F0A9C,Nokia,Ryzen 9,Ryzen 9,32GB,256GB,256GB
F4455F9F,Oppo,N/A,Snapdragon 7 Gen,6GB,1TB,N/A
FC40696E,Realme,i3,i3,12GB,64GB,256GB
0143346B,Dell,N/A,MediaTek Dimensity,16GB,512GB,N/A
DA076857,HP,N/A,Snapdragon 8 Gen,16GB,128GB,N/A
3FC13375,Sony,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
76CCE317,Nokia,Ryzen 9,Ryzen 9,32GB,128GB,1TB
764AA56C,Motorola,N/A,Samsung Exynos,6GB,128GB,N/A
3DAE2F2C,Acer,N/A,Snapdragon 7 Gen,12GB,256GB,N/A
C93DB90E,Samsung,N/A,Apple A-Series,32GB,128GB,N/A
2E6AA441,Oppo,Ryzen 9,Ryzen 9,6GB,64GB,1TB
8D61EBC9,OnePlus,i9,i9,6GB,128GB,2TB
3FC5EADF,Redmi,N/A,Snapdragon 8 Gen,4GB,512GB,N/A
8DA5535C,OnePlus,i7,i7,16GB,256GB,2TB
2F8A2BE9,Vivo,Ryzen 3,Ryzen 3,12GB,1TB,512GB
8E5A096C,OnePlus,N/A,Snapdragon 8 Gen,8GB,64GB,N/A
A6A3F9D3,Realme,Ryzen 9,Ryzen 9,4GB,128GB,1TB
CFE81C06,Samsung,i3,i3,8GB,64GB,512GB
73D309FD,Microsoft,N/A,Samsung Exynos,4GB,256GB,N/A
A25458C5,Sony,N/A,MediaTek Dimensity,32GB,256GB,N/A
DC4BC46E,Lenovo,N/A,MediaTek Dimensity,32GB,64GB,N/A
9575F0B1,Realme,i5,i5,32GB,512GB,512GB
8FA58281,HP,Ryzen 5,Ryzen 5,16GB,256GB,2TB
40D95453,Huawei,i9,i9,32GB,1TB,2TB
769FB4CD,Huawei,i3,i3,6GB,128GB,512GB
B11B17B3,Acer,N/A,MediaTek Helio,8GB,1TB,N/A
D7C777B2,Samsung,N/A,MediaTek Helio,4GB,512GB,N/A
40A25329,Redmi,i5,i5,4GB,128GB,256GB
93E2F6BD,Oppo,i5,i5,6GB,1TB,2TB
195FF9D2,Apple,Ryzen 9,Ryzen 9,32GB,512GB,2TB
9.42E+08,Realme,Ryzen 5,Ryzen 5,12GB,512GB,256GB
15CAC36C,Realme,N/A,MediaTek Helio,32GB,256GB,N/A
75ED1854,HP,N/A,MediaTek Dimensity,12GB,128GB,N/A
E1A382F0,Dell,N/A,MediaTek Dimensity,16GB,1TB,N/A
3F8A9FF0,Samsung,i7,i7,16GB,256GB,256GB
DB6E40C2,Realme,Ryzen 7,Ryzen 7,6GB,256GB,1TB
99297E3D,HP,N/A,Snapdragon 7 Gen,16GB,1TB,N/A
046A08CA,HP,Ryzen 7,Ryzen 7,16GB,256GB,256GB
A4E243F6,Nokia,i7,i7,32GB,128GB,2TB
D911147A,HP,N/A,Apple A-Series,16GB,256GB,N/A
EF193725,Asus,Ryzen 5,Ryzen 5,6GB,512GB,256GB
610C1428,OnePlus,N/A,Snapdragon 7s,16GB,128GB,N/A
8E8BC3F7,Vivo,N/A,MediaTek Dimensity,8GB,64GB,N/A
B3D06A08,Vivo,Ryzen 9,Ryzen 9,6GB,128GB,1TB
2E4E1CB2,Lenovo,Ryzen 7,Ryzen 7,12GB,64GB,1TB
FE28909E,Toshiba,N/A,MediaTek Dimensity,4GB,64GB,N/A
A4BF88AF,Dell,i7,i7,12GB,128GB,512GB
157AB23E,Microsoft,N/A,Snapdragon 8 Gen,6GB,1TB,N/A
36AC42A1,Asus,Ryzen 3,Ryzen 3,6GB,64GB,2TB
CD46343B,HP,N/A,MediaTek Helio,32GB,64GB,N/A
38D718A0,Toshiba,Ryzen 9,Ryzen 9,8GB,1TB,512GB
3A54178C,Asus,N/A,Snapdragon 7s,4GB,256GB,N/A
D4DBAF86,Lenovo,Ryzen 3,Ryzen 3,6GB,512GB,256GB
EF1F211A,Microsoft,N/A,Snapdragon 8 Gen,32GB,256GB,N/A
EF1C030C,Microsoft,Ryzen 3,Ryzen 3,6GB,256GB,2TB
A362F1A9,Huawei,N/A,Snapdragon 7 Gen,6GB,512GB,N/A
CAB020B1,Lenovo,N/A,Samsung Exynos,12GB,64GB,N/A
63FE4F1A,Oppo,N/A,Samsung Exynos,8GB,512GB,N/A
0B68DA29,Realme,Ryzen 7,Ryzen 7,12GB,64GB,2TB
81CE0A50,Nokia,N/A,Samsung Exynos,12GB,128GB,N/A
F2A5C418,Microsoft,N/A,Apple A-Series,6GB,512GB,N/A
E0C875D7,Toshiba,N/A,Snapdragon 7 Gen,16GB,256GB,N/A
40EBE6F2,Asus,Ryzen 3,Ryzen 3,16GB,64GB,256GB
264D1862,Toshiba,Ryzen 9,Ryzen 9,8GB,512GB,512GB
3F89AF67,iQOO,i3,i3,12GB,256GB,256GB
C42C33A5,Lenovo,N/A,MediaTek Dimensity,6GB,256GB,N/A
6AB9C33D,iQOO,N/A,Apple A-Series,6GB,256GB,N/A
2514F8AD,Realme,N/A,MediaTek Dimensity,12GB,1TB,N/A
4F095515,Sony,Ryzen 7,Ryzen 7,12GB,128GB,512GB
1852CF3A,Google,N/A,MediaTek Dimensity,6GB,512GB,N/A
1F1C6030,Huawei,N/A,Samsung Exynos,4GB,1TB,N/A
DB6A3A67,Asus,Ryzen 7,Ryzen 7,8GB,256GB,256GB
1CDF0AD5,iQOO,N/A,MediaTek Dimensity,32GB,256GB,N/A
A26B004F,Vivo,N/A,Snapdragon 7 Gen,32GB,256GB,N/A
56BE36E9,Huawei,Ryzen 3,Ryzen 3,6GB,256GB,1TB
CF5FA403,Oppo,i7,i7,32GB,64GB,1TB
609BACAC,Huawei,N/A,Apple A-Series,6GB,128GB,N/A
C2A663B8,HP,i9,i9,4GB,1TB,1TB
41D88CC0,Realme,N/A,Apple A-Series,16GB,1TB,N/A
90A40084,Nokia,i5,i5,8GB,1TB,1TB
223C37C2,Nokia,N/A,Snapdragon 8 Gen,8GB,128GB,N/A
CA122E3C,Sony,N/A,Snapdragon 8 Gen,6GB,64GB,N/A
BB05E0FC,Acer,i7,i7,32GB,128GB,512GB
C5CF947E,Sony,N/A,Snapdragon 8 Gen,8GB,512GB,N/A
E1CC763A,Microsoft,i3,i3,4GB,128GB,1TB
C94A30D4,Toshiba,i9,i9,4GB,128GB,512GB
53AA9361,Nokia,Ryzen 3,Ryzen 3,32GB,256GB,256GB
B9FB76E1,Motorola,i5,i5,6GB,64GB,1TB
0DE2DD25,Acer,N/A,Snapdragon 7 Gen,6GB,64GB,N/A
3C30E98B,Apple,i3,i3,4GB,256GB,2TB
04988B18,Realme,N/A,Snapdragon 7 Gen,16GB,1TB,N/A
8F51828F,Huawei,i7,i7,6GB,1TB,1TB
A4B7F095,Nokia,Ryzen 7,Ryzen 7,12GB,64GB,1TB
5D263266,Oppo,Ryzen 9,Ryzen 9,8GB,64GB,512GB
BBB67CB2,Redmi,i7,i7,6GB,64GB,2TB
B63BEE44,Realme,N/A,Apple A-Series,8GB,256GB,N/A
7CD6DE2A,iQOO,i3,i3,32GB,256GB,2TB
23F2C44B,Samsung,i9,i9,16GB,64GB,512GB
95ECBC0D,Oppo,N/A,Samsung Exynos,12GB,64GB,N/A
EBCF5415,Samsung,N/A,MediaTek Dimensity,6GB,512GB,N/A
B1C6AC69,Dell,Ryzen 5,Ryzen 5,16GB,256GB,256GB
C8284DCE,Google,i9,i9,16GB,128GB,1TB
DB513022,iQOO,N/A,MediaTek Dimensity,6GB,128GB,N/A
E90828D6,Vivo,N/A,Apple A-Series,12GB,64GB,N/A
3E931275,Redmi,N/A,Samsung Exynos,4GB,128GB,N/A
EFAC687B,Samsung,i3,i3,16GB,512GB,2TB
2E9844E2,Microsoft,N/A,Samsung Exynos,4GB,512GB,N/A
F39C9966,Huawei,i9,i9,32GB,128GB,256GB
3415456E,Vivo,N/A,Apple A-Series,6GB,128GB,N/A
BD4328E7,Realme,i9,i9,4GB,256GB,256GB
3E12C819,Samsung,N/A,MediaTek Dimensity,16GB,128GB,N/A
07BE8B32,iQOO,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
DFDCD743,Motorola,i3,i3,4GB,1TB,512GB
BEF339DC,Asus,Ryzen 7,Ryzen 7,4GB,512GB,256GB
1092287E,Google,i5,i5,8GB,512GB,512GB
3B962DAF,OnePlus,Ryzen 3,Ryzen 3,8GB,512GB,1TB
1AB44A9D,Huawei,Ryzen 3,Ryzen 3,16GB,128GB,512GB
4BED45E2,Motorola,i9,i9,8GB,1TB,1TB
446D0CDE,Dell,i7,i7,12GB,128GB,1TB
21C128D9,Toshiba,i7,i7,8GB,512GB,2TB
